,feature_id
705,22164130
706,22163406
707,22160260
708,22164424
709,22160516
710,22163630
711,22159758
712,22163896
713,22160114
714,22160946
715,22162080
716,22160938
717,22161376
718,22159662
719,22160154
720,22160418
721,22160248
722,22160142
723,22162046
724,22160958
725,22164668
726,22164502
727,22161184
728,22164372
729,22160422
730,22165470
731,22164900
732,22160824
733,22161024
734,22161276
735,22160596
736,22164320
737,22164182
738,22163806
739,22161232
740,22159544
741,22160136
742,22159432
743,22164954
744,22160170
745,22164436
746,22165344
747,22160100
748,22159984
749,22164714
750,22161470
751,22159462
752,22165222
753,22163794
754,22160934
755,22164426
756,22161464
757,22160814
758,22160610
759,22159538
760,22160020
761,22164336
762,22164750
763,22164752
764,22164324
765,22164370
766,22160454
767,22163246
768,22161168
769,22160480
770,22160532
771,22161314
772,22162316
773,22164406
774,22161036
775,22160426
776,22162576
777,22160930
778,22160236
779,22158568
780,22150243
781,22162516
782,22165184
783,22162550
784,22164246
785,22159902
786,22161038
787,22164910
788,22158530
789,22163446
790,22164384
791,22162482
792,22164604
793,22161442
794,22161690
795,22162552
796,22164694
797,22150307
798,22159748
799,22162578
800,22164176
801,22161234
802,22160718
803,22164658
804,22162160
805,22164866
806,22164610
807,22159966
808,22163326
809,22160550
810,22162354
811,22165062
812,22160558
813,22162530
814,22160038
815,22164234
816,22162554
817,22159950
818,22163582
819,22159402
820,22164198
821,22161154
822,22159706
823,22164412
824,22159920
825,22159594
826,22162386
827,22160622
828,22162364
829,22165420
830,22158560
831,22164402
832,22164080
833,22161670
834,22164692
835,22164814
836,22163814
837,22160794
838,22160922
839,22160452
840,22163424
841,22162168
842,22164206
843,22165246
844,22164318
845,22163612
846,22164084
847,22163330
848,22163632
849,22160464
850,22162296
851,22165158
852,22163228
853,22165190
854,22164766
855,22163402
856,22150185
857,22160086
858,22160310
859,22160796
860,22164564
861,22164594
862,22161450
863,22160304
864,22164420
865,22160096
866,22165042
867,22164712
868,22165068
869,22163354
870,22161404
871,22161004
872,22160298
873,22165468
874,22164626
875,22165220
876,22160324
877,22159716
878,22164164
879,22160660
880,22161594
881,22164524
882,22163610
883,22163700
884,22160274
885,22159528
886,22161622
887,22160634
888,22160734
889,22159686
890,22161730
891,22159488
892,22160962
893,22159814
894,22164718
895,22164682
896,22163570
897,22160146
898,22160648
899,22164880
900,22160908
901,22159752
902,22161022
903,22163892
904,22161282
905,22160506
906,22162460
907,22163358
908,22160002
909,22164782
910,22161328
911,22159548
912,22163858
913,22165386
914,22159844
915,22163802
916,22159994
917,22163732
918,22164262
919,22163644
920,22160650
921,22150339
922,22164570
923,22164162
924,22165382
925,22163324
926,22162582
927,22164310
928,22163678
929,22163878
930,22164422
931,22164862
932,22164834
933,22163940
934,22164902
935,22162488
936,22160828
937,22159914
938,22159580
939,22163950
940,22160836
941,22165036
942,22164560
943,22164786
944,22164652
945,22161278
946,22161010
947,22161480
948,22160088
949,22158552
950,22163588
951,22160928
952,22164526
953,22165430
954,22150169
955,22160478
956,22162466
957,22159722
958,22165138
959,22164646
960,22160600
961,22160960
962,22164260
963,22159698
964,22161664
965,22160034
966,22160290
967,22159878
968,22159468
969,22159518
970,22165332
971,22164418
972,22163890
973,22164978
974,22164226
975,22160014
976,22164488
977,22163352
978,22164642
979,22164106
980,22164994
981,22165472
982,22160602
983,22162560
984,22160618
985,22160072
986,22161342
987,22163278
988,22161146
989,22165324
990,22158510
991,22163948
992,22160498
993,22159928
994,22158576
995,22164388
996,22159892
997,22164098
998,22163292
999,22159654
1000,22163760
1001,22161252
1002,22163284
1003,22162510
1004,22163216
1005,22161692
1006,22159918
1007,22163400
1008,22165034
1009,22164430
1010,22160798
1011,22164160
1012,22160910
1013,22162540
1014,22163380
1015,22160456
1016,22161124
1017,22164736
1018,22161408
1019,22162558
1020,22160164
1021,22159894
1022,22160008
1023,22162372
1024,22163756
1025,22159512
1026,22163584
1027,22161554
1028,22165380
1029,22161612
1030,22163554
1031,22161198
1032,22160716
1033,22164810
1034,22159566
1035,22159838
1036,22163934
1037,22165242
1038,22163548
1039,22161274
1040,22162586
